"[run number]","[step]","initial-density","count patches with [pcolor = white]","count patches with [pcolor = red]"
"1","1","0.89","0","8923"
"3","2","0.75","0","7"
"6","10","0.45","554","564"
"7","10","0.2","815","874"
"12","10","0.07","580","571"
"9","10","0.03","414","361"
"11","10","0.21","960","1000"
"19","1","0.99","0","9905"
"5","10","0.17","946","940"
"4","10","0.14","832","946"
"8","10","0.28","833","861"
"10","10","0.65","42","41"
"2","10","0.58","270","274"
"15","10","0.18","952","1007"
"14","10","0.62","120","115"
"16","10","0.4","553","584"
"18","10","0.4","672","687"
"17","10","0.63","111","112"
"26","2","0.81","0","1"
"27","2","0.84","0","1"
"29","1","0.99","0","9913"
"23","10","0.52","362","381"
"20","10","0.33","865","898"
"24","10","0.82","3","3"
"21","10","0.18","779","838"
"22","10","0.24","887","961"
"25","10","0.6","130","129"
"37","1","0.88","0","8761"
"31","10","0.01","47","47"
"28","10","0.41","516","553"
"40","1","0.86","0","8640"
"32","10","0.27","925","1003"
"33","10","0.49","491","521"
"30","10","0.14","1001","1075"
"35","10","0.62","207","210"
"34","10","0.8","6","6"
"46","1","0.79","0","7879"
"36","10","0.3","767","785"
"38","10","0.37","700","707"
"41","10","0.12","859","905"
"39","10","0.06","572","582"
"42","10","0.62","321","308"
"43","10","0.67","21","23"
"44","10","0.29","914","972"
"47","10","0.06","577","571"
"45","10","0.22","939","973"
"48","10","0.64","147","148"
"52","10","0.42","599","619"
"57","1","0.86","0","8665"
"59","1","0.86","0","8648"
"50","10","0.82","3","3"
"49","10","0.23","855","935"
"51","10","0.68","36","36"
"63","1","0.97","0","9716"
"61","1","0.85","0","8535"
"53","10","0.53","224","225"
"54","10","0.02","106","91"
"68","1","0.91","0","9109"
"69","1","0.9","0","9028"
"56","10","0.71","76","75"
"58","10","0.28","770","831"
"55","10","0.71","90","90"
"60","10","0.74","30","30"
"66","10","0.4","618","644"
"65","10","0.67","47","53"
"62","10","0.45","477","489"
"74","1","0.85","0","8461"
"64","10","0.08","766","775"
"67","10","0.05","358","350"
"70","10","0.56","334","348"
"72","10","0.39","680","754"
"71","10","0.23","877","913"
"75","10","0.59","284","285"
"85","1","0.96","0","9600"
"73","10","0.57","248","269"
"76","10","0.45","474","488"
"77","10","0.08","655","684"
"78","10","0.22","962","991"
"89","1","0.99","0","9908"
"80","10","0.62","163","169"
"79","10","0.04","385","341"
"81","10","0.17","864","929"
"83","10","0.63","126","128"
"82","10","0.1","827","852"
"95","0","0","0","0"
"96","1","0.92","0","9217"
"84","10","0.14","895","946"
"86","10","0.38","697","707"
"87","10","0.23","999","1006"
"88","10","0.3","749","814"
"90","10","0.71","34","34"
"101","3","0.78","0","2"
"91","10","0.41","503","534"
"92","10","0.28","866","895"
"100","10","0.28","873","902"
"97","10","0.59","215","216"
"93","10","0.19","805","864"
"104","1","0.87","0","8657"
"98","10","0.54","302","315"
"94","10","0.66","124","126"
"99","10","0.26","809","836"
"103","10","0.62","131","133"
"108","10","0.39","535","578"
"102","10","0.74","56","56"
"114","1","0.79","0","7899"
"116","1","0.91","0","9108"
"117","1","0.87","0","8648"
"105","10","0.03","551","427"
"118","1","0.99","0","9908"
"107","10","0.15","902","954"
"110","10","0.49","394","434"
"106","10","0.09","708","743"
"111","10","0.35","683","720"
"109","10","0.11","864","875"
"122","1","0.89","0","8900"
"123","1","0.94","0","9416"
"113","10","0.13","788","865"
"125","1","0.92","0","9172"
